name	type	units	sampling_frequency
LFP_0_R_STN_MT	SEEG	unknown	280
LFP_1_R_STN_MT	SEEG	unknown	280
LFP_2_R_STN_MT	SEEG	unknown	280
LFP_3_R_STN_MT	SEEG	unknown	280
LFP_0_L_STN_MT	SEEG	unknown	280
LFP_1_L_STN_MT	SEEG	unknown	280
LFP_2_L_STN_MT	SEEG	unknown	280
LFP_3_L_STN_MT	SEEG	unknown	280
ECOG_1_U_SM_U	ECOG	unknown	280
ECOG_2_U_SM_U	ECOG	unknown	280
ECOG_3_L_SM_U	ECOG	unknown	280
ECOG_4_L_SM_U	ECOG	unknown	280
EEG_L_C3_U	EEG	unknown	280
EEG_C_Cz_U	EEG	unknown	280
EMG_1_R_FDI_U	EMG	unknown	280
EMG_2_R_FDI_U	EMG	unknown	280
